instituicao,uf,populacao,conta,estagio,valor,ano
Prefeitura Municipal de Rio Branco - AC,AC,407319,15.452 - Serviços Urbanos,PAGO,1.1213320122E8,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,15.453 - Transportes Coletivos Urbanos,PAGO,844590.68,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,16 - Habitação,PAGO,313157.78,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,16.482 - Habitação Urbana,PAGO,313157.78,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,17 - Saneamento,PAGO,1.51669775E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,17.512 - Saneamento Básico Urbano,PAGO,1.51669775E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,18 - Gestão Ambiental,PAGO,1.432894037E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,18.541 - Preservação e Conservação Ambiental,PAGO,6094412.8,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,18.542 - Controle Ambiental,PAGO,2786807.75,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,18.122 - Administração Geral,PAGO,5447719.82,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,19 - Ciência e Tecnologia,PAGO,180583.83,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,19.572 - Desenvolvimento Tecnológico e Engenharia,PAGO,180583.83,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,20 - Agricultura,PAGO,7704818.78,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,20.605 - Abastecimento,PAGO,1627589.39,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,20.606 - Extensão Rural,PAGO,263422.21,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,20.122 - Administração Geral,PAGO,5521839.52,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,23 - Comércio e Serviços,PAGO,3908200.09,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,23.695 - Turismo,PAGO,3908200.09,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,26 - Transporte,PAGO,1.58776184E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,26.782 - Transporte Rodoviário,PAGO,1040101.2,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,27 - Desporto e Lazer,PAGO,60696.73,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,27.812 - Desporto Comunitário,PAGO,55808.73,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,27.813 - Lazer,PAGO,4888.0,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,28 - Encargos Especiais,PAGO,1.966988886E7,2020
Prefeitura Municipal de Rio Branco - AC,AC,407319,28.843 - Serviço da Dívida Interna,PAGO,1.966988886E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,01 - Legislativa,EMPENHADO,3.508570339E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,01.122 - Administração Geral,EMPENHADO,3.417437202E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,04 - Administração,EMPENHADO,3.4754099296E8,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,04.122 - Administração Geral,EMPENHADO,3.1390114103E8,2020
